CellIDRec	Injection	CultivationSol	DaysPostInj	Rating	Voltage_1	Voltage_2	Voltage_3	Voltage_4	Voltage_5	Voltage_6	Voltage_7	Voltage_8	CurMinus85	MeanSTEPs_1	MeanSTEPs_2	MeanSTEPs_3	MeanSTEPs_4	MeanSTEPs_5	MeanSTEPs_6	MeanSTEPs_7	MeanSTEPs_8	LEAKMinus85	TestSol
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.100050560631229	-0.0799796165559247	-0.0599078765227021	-0.0398358250276854	-0.0197524224806201	0.000330737818383166	0.0204089839424142	0.040484184662237	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGluBefore
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.100047411406423	-0.0799789244186046	-0.0599118217054264	-0.0398379360465116	-0.0197649155592469	0.000328972868217053	0.0204141749723145	0.0404775401439645	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(0.01EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.100048276578073	-0.0799766403654485	-0.059906665282392	-0.0398362057032115	-0.0197630121816168	0.000336309523809523	0.0204096414728682	0.0404802048726467	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(0.03EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.100050283776301	-0.079985638150609	-0.0599146940753045	-0.0398378322259136	-0.0197686877076412	0.000325027685492801	0.02040555786268	0.0404788898117386	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(0.1EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(0.3EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.10005454042082	-0.0799860188261351	-0.0599128599114064	-0.0398454111295681	-0.0197715600775194	0.00032329734219269	0.020405454042082	0.0404792012735327	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(1EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.100049591638981	-0.079985811184939	-0.0599174972314507	-0.0398423311184939	-0.0197730481727575	0.000325927464008859	0.0204028585271318	0.0404759482281285	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(3EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.100051979512735	-0.0799836309523809	-0.0599123408084164	-0.0398421234772979	-0.019765884551495	0.000326861849390918	0.0204039313399779	0.0404775747508305	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(10EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(30EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.100058139534884	-0.0799874723145072	-0.0599141057585825	-0.039843507751938	-0.0197771663898117	0.000326827242524916	0.0204005398671096	0.0404757751937984	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(100EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	-0.100052048726467	-0.0799890296234773	-0.0599183277962348	-0.039844649778516	-0.0197701411960133	0.000320494186046511	0.0204027893133998	0.0404725913621262	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGlu(300EIPA)
STFX036005	mg418mg419mg012	L-15(300Amil)	2	3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaGluAfter
